scenario_id,language,normalized_character_edit_rate,total_n
S28,Japanese,0.88,300
S28,Arabic,0.7068965517241379,300
S29,Hindi,0.45588235294117646,300
S29,Bengali,0.6031746031746031,300
S29,Tamil,0.45714285714285713,300
S29,Spanish,0.463768115942029,300
S29,Japanese,0.3103448275862069,300
S29,Arabic,0.4358974358974359,300
S30,Hindi,0.6091954022988506,300
S30,Bengali,0.65625,300
S30,Tamil,0.5641025641025641,300
S30,Spanish,0.4266666666666667,300
S30,Japanese,0.34782608695652173,300
S30,Arabic,0.5357142857142857,300
S31,Hindi,0.46017699115044247,300
S31,Bengali,0.4578313253012048,300
S31,Tamil,0.3488372093023256,300
S31,Spanish,0.5056179775280899,300
S31,Japanese,0.6153846153846154,300
S31,Arabic,0.673469387755102,300
S32,Hindi,0.6170212765957447,300
S32,Bengali,0.6708860759493671,300
S32,Tamil,0.691358024691358,300
S32,Spanish,0.654320987654321,300
S32,Japanese,0.5666666666666667,300
S32,Arabic,0.7674418604651163,300
S33,Hindi,0.7362637362637363,300
S33,Bengali,0.4909090909090909,300
S33,Tamil,0.5303030303030303,300
S33,Spanish,0.39285714285714285,300
S33,Japanese,0.5263157894736842,300
S33,Arabic,0.38,300
S34,Hindi,0.42857142857142855,300
S34,Bengali,0.6901408450704225,300
S34,Tamil,0.6470588235294118,300
S34,Spanish,0.7571428571428571,300
S34,Japanese,0.5,300
S34,Arabic,0.5961538461538461,300
S35,Hindi,0.5454545454545454,300
S35,Bengali,0.6268656716417911,300
S35,Tamil,0.4943820224719101,300
S35,Spanish,0.6,300
S35,Japanese,0.5416666666666666,300
S35,Arabic,0.5573770491803278,300
S36,Hindi,0.6626506024096386,300
S36,Bengali,0.44776119402985076,300
S36,Tamil,0.44155844155844154,300
S36,Spanish,0.6404494382022472,300
S36,Japanese,0.68,300
S36,Arabic,0.5,300
S37,Hindi,0.5957446808510638,300
S37,Bengali,0.509090909090909,300
S37,Tamil,0.5172413793103449,300
S37,Spanish,0.5394736842105263,300
S37,Japanese,0.5238095238095238,300
S37,Arabic,0.2682926829268293,300
S38,Hindi,0.6493506493506493,300
S38,Bengali,0.45901639344262296,300
